,Name,Category,Number of Followers,Account created Date,Number of Likes,TwitterHandle,Content,RetweetCount,Location
10398,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,2247,https://twitter.com/jkbjournalist,"And, btw, why are you hiding behind a “John Doe” label? Why does the judiciary even allow this??? On what basis can someone object while hiding who they are???",348,Miami Florida
10399,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,8495,https://twitter.com/jkbjournalist,"Am I the only person who wonders why so many “Johns” are opposing the release of these documents? I mean, if you didn’t do anything wrong, why are you trying to block the release of docs in a child sex trafficking case involving Jeffrey Epstein?... https://t.co/nEQ9I9GU95",3024,Miami Florida
10400,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,35,https://twitter.com/jkbjournalist,"Suspended Broward Sheriff Scott Israel should be reinstated, report finds
https://t.co/sZpepRPvnL",22,Miami Florida
10401,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,448,https://twitter.com/jkbjournalist,"MUST READ: “What has become clear is that journalists can’t rely on the US government to have our back as it once did” writes ⁦@declanwalsh⁩, a NYT correspondent who barely escaped Egypt after his coverage about the torture and murder of a student.  https://t.co/mQsxZaRF0i",213,Miami Florida
10402,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,397,https://twitter.com/jkbjournalist,"U.S. denies citizenship to prominent Miami photographer, tells him he’ll be deported | Opinion https://t.co/7Ofin68PYs",373,Miami Florida
10403,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,374,https://twitter.com/jkbjournalist,"ICYMI: n lurid sidelight to Epstein scandal, Alan Dershowitz asks judge to dismiss defamation case https://t.co/wfjdQEwvEY",159,Miami Florida
10404,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,226,https://twitter.com/jkbjournalist,https://t.co/naXHK4q8Ua,86,Miami Florida
10405,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,362,https://twitter.com/jkbjournalist,UPDATED: Lawyer Alan Dershowitz tries to throw out lawsuit filed by woman who claims sex trafficker Jeffrey Epstein forced her to have sex with the Harvard professor. Judge did not issue a ruling on Tuesday. https://t.co/wfjdQEwvEY,179,Miami Florida
10406,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,144,https://twitter.com/jkbjournalist,"Wow, the sleuthing for the day was not done....@soychicka picks up the case. https://t.co/6tMVsRZhd6",34,Miami Florida
10407,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,128,https://twitter.com/jkbjournalist,"NEW by @nicknehamas Venezuelans arrested with $5 million worth of smuggled gold at Broward airport, feds say https://t.co/uq43ZdcCuC",65,Miami Florida
10408,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,468,https://twitter.com/jkbjournalist,"The photo with this story was taken by the Miami Herald's @EmilyMichot and it went with a story broken by @MiamiHerald on Friday. I'm not sure how it ended up on a tweet referencing a story @HuffPost. Gotta love Twitter, but this is not cool. https://t.co/rWUBpVgKYv",139,Miami Florida
